Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price_trans,Total_Cost,Product_Name,Product_Price_prod,Company_Name,Company_Profit,Address,City,Product_Price,Month,Year,DayOfWeek,Is_Weekend,Is_High_Profit_Client,Price_Segment
1.0,88.0,6.0,6.0,2024-03-26,194379.14796406127,1075200.0,RevenueVue Dashboard,179200,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines",Taguig,179200,3,2024,Tuesday,0,0,Premium
2.0,29.0,19.0,16.0,2024-07-09,97930.9933803618,1428000.0,EcoNomix Modeler,95200,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!",Makati,95200,7,2024,Tuesday,0,0,Standard
3.0,28.0,18.0,6.0,2024-04-13,126095.54777833456,940800.0,DashSync Analytics Hub,134400,Global Holdings 28,61115.0,"Katipunan Ave, Brgy. 303, Taguig, Philippines",Taguig,134400,4,2024,Saturday,1,0,Standard
4.0,85.0,12.0,12.0,2023-09-06,,1008000.0,BudgetMaster Pro,84000,Green Ventures 85,113470.0,"EDSA, Barangay 707, Cebu City, Philippines",Cebu City,84000,9,2023,Wednesday,0,1,Standard
5.0,47.0,3.0,8.0,2021-07-06,99575.60963363378,705600.0,TrendWise Forecaster,100800,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines",Mandaluyong,100800,7,2021,Tuesday,0,0,Standard
6.0,80.0,11.0,4.0,2021-07-12,160658.67535045007,627200.0,OptiFlow Automation,156800,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines",Manila,156800,7,2021,Monday,0,1,Premium
8.0,21.0,20.0,7.0,2023-10-31,229217.9414680993,1792000.0,FinSphere Intelligence Suite,224000,Dynamic Enterprises 21,75301.5,"Ortigas Ave, Barangay 707, Davao City, Philippines",Davao City,224000,10,2023,Tuesday,0,0,Premium
9.0,96.0,1.0,14.0,2024-02-25,144758.78325409137,1960000.0,FinPredictor Suite,140000,Dynamic  Network  96,101428.0,"Alabang-Zapote Rd, Brgy. 456, Cebu City, Philippines",Cebu City,140000,2,2024,Sunday,1,1,Premium
10.0,3.0,20.0,6.0,2021-03-29,238293.8513034097,1120000.0,FinSphere Intelligence Suite,224000,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",Pasig,224000,3,2021,Monday,0,1,Premium
11.0,6.0,16.0,6.0,2024-01-12,98263.85040103912,532000.0,SpendTrack Plus,106400,Elite Network 6,36967.0,"Katipunan Ave, Barangay 707, Davao City, Philippines",Davao City,106400,1,2024,Friday,0,0,Standard
14.0,36.0,1.0,4.0,2023-03-22,141186.03640865185,560000.0,FinPredictor Suite,140000,Pioneer Network 36,107259.0,"Taft Ave, Barangay 123, Pasig, Philippines",Pasig,140000,3,2023,Wednesday,0,1,Premium
15.0,66.0,12.0,17.0,2023-03-22,79380.52059221058,1428000.0,BudgetMaster Pro,84000,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines",Parañaque,84000,3,2023,Wednesday,0,0,Standard
16.0,43.0,7.0,1.0,2023-07-24,,302400.0,DataBridge Integration Tool,151200,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines",Cebu City,151200,7,2023,Monday,0,1,Premium
17.0,27.0,12.0,16.0,2022-09-27,85093.63619248601,1428000.0,BudgetMaster Pro,84000,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines",Pasig,84000,9,2022,Tuesday,0,0,Standard
18.0,57.0,10.0,6.0,2022-07-10,,627200.0,SegmentX Targeting,89600,Pioneer Corp 57,118114.0,"Katipunan ave, barangay 456, parañaque, philippines",Parañaque,89600,7,2022,Sunday,1,1,Standard
19.0,76.0,3.0,19.0,2022-08-04,106544.97925907635,1814400.0,TrendWise Forecaster,100800,Tech Ventures 76,75301.5,"Commonwealth Ave, Barangay 202, Cebu City, Philippines",Cebu City,100800,8,2022,Thursday,0,0,Standard
20.0,52.0,20.0,17.0,2022-06-19,222889.9229549203,3808000.0,FinSphere Intelligence Suite,224000,Innovative  Industries  52,92408.0,"Roxas Blvd, Brgy. 303, Quezon City, Philippines",Quezon City,224000,6,2022,Sunday,1,0,Premium
21.0,88.0,13.0,2.0,2024-09-08,210759.8014489568,392000.0,ForecastXcelerator ,196000,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines",Taguig,196000,9,2024,Sunday,1,0,Premium
22.0,25.0,18.0,2.0,2021-03-21,123745.15804172322,268800.0,DashSync Analytics Hub,134400,Green Holdings 25,36659.0,"Ortigas Ave, Barangay 606, Pasig, Philippines",Pasig,134400,3,2021,Sunday,1,0,Standard
23.0,46.0,17.0,7.0,2023-04-20,160605.71063159578,1176000.0,RealTime Revenue,168000,Dynamic Ventures 46,93219.0,"SLEX, Barangay 789, Pasig, Philippines!",Pasig,168000,4,2023,Thursday,0,0,Premium
24.0,70.0,1.0,19.0,2021-05-03,145162.09735915158,2660000.0,FinPredictor Suite,140000,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines",Baguio,140000,5,2021,Monday,0,0,Premium
25.0,79.0,19.0,3.0,2023-03-24,102391.22712875452,190400.0,EcoNomix Modeler,95200,Sky Ventures 79,83106.0,"Alabang-Zapote Rd, Barangay 505, Parañaque, Philippines",Parañaque,95200,3,2023,Friday,0,0,Standard
26.5,93.0,9.0,16.0,2021-09-21,,1792000.0,Product 9,112000,Innovative Holdings 93,79192.0,"EDSA, Barangay 789, Davao City, Philippines",Davao City,112000,9,2021,Tuesday,0,0,Standard
28.0,3.0,19.0,10.0,2023-06-28,103377.92636864162,952000.0,EcoNomix Modeler,95200,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",Pasig,95200,6,2023,Wednesday,0,1,Standard
29.0,24.0,11.0,5.0,2022-10-24,142284.83462551606,784000.0,OptiFlow Automation,156800,Tech  Solutions  24,89757.0,"Alabang-Zapote Rd, Barangay 456, Mandaluyong, Philippines",Mandaluyong,156800,10,2022,Monday,0,0,Premium
30.0,100.0,9.0,10.0,2023-04-20,107914.37933409296,1232000.0,Product 9,112000,Global Solutions 100,75301.5,"Ayala avenue, barangay 456, taguig, philippines",Taguig,112000,4,2023,Thursday,0,0,Standard
31.0,16.0,16.0,20.0,2023-12-30,109347.01750389877,2021600.0,SpendTrack Plus,106400,Green  Corp  16,67696.0,"Shaw Blvd, Barangay 707, Taguig, Philippines!",Taguig,106400,12,2023,Saturday,1,0,Standard
32.0,23.0,7.0,1.0,2022-10-10,158091.28746141505,151200.0,DataBridge Integration Tool,151200,Prime Corp 23,75301.5,"Slex, barangay 505, manila, philippines",Manila,151200,10,2022,Monday,0,0,Premium
33.0,8.0,20.0,10.0,2021-10-01,241093.1443694232,2016000.0,FinSphere Intelligence Suite,224000,Green Enterprises 8,107952.0,"Roxas blvd, barangay 404, manila, philippines",Manila,224000,10,2021,Friday,0,1,Premium
34.0,92.0,8.0,11.0,2024-02-27,141578.710505847,1814400.0,RiskRadar Monitor,151200,Innovative  Corp  92,62959.0,"Taft ave, barangay 202, baguio, philippines",Baguio,151200,2,2024,Tuesday,0,0,Premium
35.0,49.0,19.0,6.0,2022-05-23,,476000.0,EcoNomix Modeler,95200,Tech Holdings 49,115517.0,"Edsa, barangay 303, quezon city, philippines",Quezon City,95200,5,2022,Monday,0,1,Standard
36.0,71.0,20.0,3.0,2022-05-19,,896000.0,FinSphere Intelligence Suite,224000,Prime Associates 71,103332.0,"EDSA, Brgy. 303, Parañaque, Philippines",Parañaque,224000,5,2022,Thursday,0,1,Premium
38.0,67.0,2.0,13.0,2024-08-05,184039.0226478925,2016000.0,MarketMinder Analytics,168000,Quantum Associates 67,74653.0,"Shaw Blvd, Barangay 202, Manila, Philippines",Manila,168000,8,2024,Monday,0,0,Premium
39.0,20.0,1.0,12.0,2024-05-22,148830.09486159886,1820000.0,FinPredictor Suite,140000,Pioneer Consulting 20,112720.0,"Ortigas ave, barangay 789, parañaque, philippines",Parañaque,140000,5,2024,Wednesday,0,1,Premium
40.0,50.0,11.0,19.0,2023-08-23,160414.89053533183,3136000.0,OptiFlow Automation,156800,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Baguio,156800,8,2023,Wednesday,0,0,Premium
41.0,60.0,11.0,15.0,2023-09-18,151951.20178657523,2352000.0,OptiFlow Automation,156800,Global Ventures 60,113443.0,"Katipunan ave, barangay 101, parañaque, philippines",Parañaque,156800,9,2023,Monday,0,1,Premium
43.0,91.0,6.0,13.0,2022-10-31,187921.9707563237,2150400.0,RevenueVue Dashboard,179200,Tech Industries 91,117123.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines",Mandaluyong,179200,10,2022,Monday,0,1,Premium
44.0,87.0,13.0,11.0,2021-08-05,,1960000.0,ForecastXcelerator ,196000,Tech  Ventures  87,37141.0,"Alabang-Zapote Rd, Barangay 505, Quezon City, Philippines",Quezon City,196000,8,2021,Thursday,0,0,Premium
45.0,36.0,9.0,10.0,2024-08-26,116233.10484205802,1008000.0,Product 9,112000,Pioneer Network 36,107259.0,"Taft Ave, Barangay 123, Pasig, Philippines",Pasig,112000,8,2024,Monday,0,1,Standard
46.0,78.0,6.0,3.0,2024-05-09,177269.01074136738,537600.0,RevenueVue Dashboard,179200,Innovative Partners 78,71232.0,"Roxas Blvd, Barangay 123, Pasig, Philippines",Pasig,179200,5,2024,Thursday,0,0,Premium
47.0,50.0,18.0,11.0,2024-03-14,141498.8995613937,1478400.0,DashSync Analytics Hub,134400,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Baguio,134400,3,2024,Thursday,0,0,Standard
48.0,92.0,19.0,9.0,2023-04-25,104674.10023760686,761600.0,EcoNomix Modeler,95200,Innovative  Corp  92,62959.0,"Taft ave, barangay 202, baguio, philippines",Baguio,95200,4,2023,Tuesday,0,0,Standard
49.0,60.0,9.0,6.0,2021-03-29,113616.11203696496,672000.0,Product 9,112000,Global Ventures 60,113443.0,"Katipunan ave, barangay 101, parañaque, philippines",Parañaque,112000,3,2021,Monday,0,1,Standard
51.0,27.0,2.0,19.0,2024-08-04,169702.40591547184,3024000.0,MarketMinder Analytics,168000,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines",Pasig,168000,8,2024,Sunday,1,0,Premium
52.0,39.0,10.0,7.0,2020-12-21,95132.47508721208,537600.0,SegmentX Targeting,89600,Prime  Consulting  39,107255.0,"Ortigas Ave, Barangay 606, Davao City, Philippines",Davao City,89600,12,2020,Monday,0,1,Standard
54.0,19.0,10.0,10.0,2023-08-24,,896000.0,SegmentX Targeting,89600,Innovative Consulting 19,45583.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines",Baguio,89600,8,2023,Thursday,0,0,Standard
55.0,100.0,19.0,19.0,2021-03-18,87600.3198505344,1713600.0,EcoNomix Modeler,95200,Global Solutions 100,75301.5,"Ayala avenue, barangay 456, taguig, philippines",Taguig,95200,3,2021,Thursday,0,0,Standard
